ID,Expediente,Mercado,Motivo,FechaInicio,FechaResolucion,Decision,Recurso,IdSector,IdSubsector,IdRama,Amparo,Nulidad,Relacionados,PalabrasClave,Sector,Subsector,Rama,Rubro,Anio,Consecutivo,Empresas,FechaResolucionOrigen,SentidoResolucionOrigen,Efecto,FechaResolucionCNT,SentidoResolucion,Multa,Tipo,RutaGaceta,ExpedienteOrigen,FechaVPResolucionRA,SentidoVPResolucionRA,PalabrasClaveComplemento,docEmpresaAlias,FechaActualizacion,NoPresentada,Resumen,RutaNoPresentada,RutaResumen,RutaExtracto,RutaDictamen,RutaResolucion,RutaDesechamiento,RutaCierre,RutaPosicionamiento,Multa1,Mercado1,Tipo1,,,,,,,,,
10717,DE-011-2025,N/A,N/A,,15/07/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,11,,15/07/2025 00:00,,,15/07/2025 00:00,,,N/A,,,15/07/2025 00:00,,,,14/11/2025 11:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10718,DE-012-2025,N/A,N/A,,15/07/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,12,,15/07/2025 00:00,,,15/07/2025 00:00,,,N/A,,,15/07/2025 00:00,,,,14/11/2025 11:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10719,DE-013-2025,N/A,N/A,,15/07/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,13,,15/07/2025 00:00,,,15/07/2025 00:00,,,N/A,,,15/07/2025 00:00,,,,14/11/2025 11:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10720,DE-014-2025,N/A,N/A,,15/07/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,14,,15/07/2025 00:00,,,15/07/2025 00:00,,,N/A,,,15/07/2025 00:00,,,,14/11/2025 11:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10708,DE-009-2025,N/A,N/A,,10/07/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,9,,10/07/2025 00:00,,,10/07/2025 00:00,,,N/A,,,10/07/2025 00:00,,,,05/01/2026 12:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10663,DE-018-2025,N/A,N/A,,07/07/2025 00:00,Desechamiento,,46,463,4633,,,,,Comercio al por menor,"CME prod. text., acces. de vestir y calzado",Comercio al por menor de calzado,DE,2025,18,,07/07/2025 00:00,,,07/07/2025 00:00,,,N/A,,,07/07/2025 00:00,,,,16/07/2025 19:20,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10661,DE-008-2025,N/A,N/A,,04/07/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,8,,04/07/2025 00:00,,,04/07/2025 00:00,,,N/A,,,04/07/2025 00:00,,,,05/01/2026 12:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10662,DE-007-2025,N/A,N/A,,27/06/2025 00:00,Desechamiento,,48,485,4854,,,,,"Transportes, correos y almacenamiento","Transp. terr. pasajeros, exc. por ferrocarril",Transporte escolar y de personal,DE,2025,7,,27/06/2025 00:00,,,27/06/2025 00:00,,,N/A,,,27/06/2025 00:00,,,,16/07/2025 19:20,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10664,DE-027-2020,"GENERACIÓN, COMERCIALIZACIÓN AL MAYOREO Y SUMINISTRO DE ENERGÍA ELÉCTRICA Y PRODUCTOS ASOCIADOS , ADEMÁS DE SERVICIOS Y ACTIVIDADES RELACIONADAS CON ESTOS MERCADOS EN TERRITORIO NACIONAL.",56-XI,,24/06/2025 00:00,Cierre,,22,221,2211,,,,,"Electricidad, agua y suministro de gas",Generación y suministro de energía eléctrica,Generación y suministro de energía eléctrica,DE,2020,27,,24/06/2025 00:00,,,24/06/2025 00:00,,,Práctica monopólica relativa,,,24/06/2025 00:00,,,,04/08/2025 12:20,,,,,,,Si,,,,0,"GENERACIÓN, COMERCIALIZACIÓN AL MAYOREO Y SUMINISTRO DE ENERGÍA ELÉCTRICA Y PRODUCTOS ASOCIADOS , ADEMÁS DE SERVICIOS Y ACTIVIDADES RELACIONADAS CON ESTOS MERCADOS EN TERRITORIO NACIONAL.",PRÁCTICA MONOPÓLICA RELATIVA,,,,,,,,,
10632,IO-003-2020,SERVICIOS DE PUBLICIDAD DIGITAL Y SERVICIOS RELACIONADOS,56-III,,09/06/2025 00:00,Cierre,,51,519,5191,,,,,Información en medios masivos,Otros servicios de información,Otros servicios de información,IO,2020,3,,09/06/2025 00:00,,,09/06/2025 00:00,,,Práctica monopólica relativa,,,09/06/2025 00:00,,,,27/06/2025 09:21,,,,,,,Si,,,,0,SERVICIOS DE PUBLICIDAD DIGITAL Y SERVICIOS RELACIONADOS,PRÁCTICA MONOPÓLICA RELATIVA,,,,,,,,,
